TITLE	LANGUAGE	ABSTRACT	URL
一种家用园艺工具用钢55MnB及其制备方法	zh	本发明涉及一种家用园艺工具用钢55MnB及其制备方法，其成分如下：C 0.52～0.60％、Si 0.15～0.35％、Mn 0.70～1.00％、P≤0.025％、S≤0.008％、Als 0.010～0.060％、B0.0005～0.0030％，余量为Fe和不可避免的杂质。制备方法包括：采用中碳钢，经过铁水脱硫、转炉吹炼、LF精炼、RH真空精炼、连铸、热直装、均热、粗轧、精轧、层流冷却、卷取、缓冷出厂，即得。本发明具有较高的碳含量和优良的淬透性，避免了中碳钢热处理后硬度不均匀和硬度偏低问题，提高了加工成材率；同时有良好的淬透性能。	https://patents.google.com/patent/CN104630618A/zh?oq=gardening+tools
Farming and gardening tools with two sets of tines	english	A tool comprising a tubular head having closed ends with an axially enlarge central extend and with an enlarged annular central region with a fixed abutment surface, a plurality of radially extending male threads formed in the head adjacent to the abutment surface; a threaded nut releasably positionable on the male threads of the head and providing an adjustable abutment surface with an annular bearing surface between the fixed and adjustable bearing surfaces; a plurality of rigid linear tines extending from the head on opposite sides of the abutment surfaces, the tines including long tines extending angularly from the head and with a plurality of short tines extending angularly from the head, the long tines being in a first plane and the short tines being in a second plane, the first and second planes being at an angle with respect to each other, extending at angles from the exterior surface of the head, female threads formed in the head with the tines having coupleable male threads at the interior ends of each tine adapted to be removable received in female threads in the head; and a coupling component including a receptacle with an interior cone-shaped configuration for receiving the lower end of a handle, the coupling component having a lower end with an annular aperture positionable on the bearing surface of the head.	https://patents.google.com/patent/US5758480?oq=gardening+tools
Portable motorised device for gardening tools	english	A portable motorized device (1) for gardening tools having a crankcase (2), a motor (3) housed in the crankcase (2), a drive shaft (4) associated with the motor (4) and suitable for actuating a tool, control device (7) of the motor (3), where said crankcase (2) comprises two hollow substantially symmetrical portions (2 a , 2 b) divided vertically along a plane parallel to the rotation axis of the drive shaft (4), a grip (5; 55) with which control device (7) of the motor are associated.	https://patents.google.com/patent/US7541700?oq=gardening+tools
Garden tool	english	A garden tool includes multiple of the following features: fishtail weeder/nail remover, trowel, nail remover, machete, saw, serrated blade, small-toothed saw, ergonomic handle, safety stop and attachment means for an elongated handle or cane. A rake attachment may also be attached to the elongated handle. The all-in-one tool: (i) saves space and money; (ii) is lightweight; (iii) minimizes the number of necessary tools; and (iv) is adjustable to accommodate user limitations (i.e., disabilities).	https://patents.google.com/patent/US8899344?oq=gardening+tools
Electrical gardening tool with a replaceable working piece	english	An electrical gardening tool includes a working piece having a main body, and a seat body with a base seat. The main body includes a coupling strip with actuating and hook ends and a projection that is disposed within the main body, and a side wall with a slot. The base seat has a coupling end surface that is formed with a fixed bar to engage the hook end so as to fix the seat body to the working piece. The actuating end of the coupling strip is rotatable forcibly relative to the main body to turn the projection out of the main body through the slot so as to remove the hook end from the bar, thereby permitting removal of the seat body from the working piece.	https://patents.google.com/patent/US6820338?oq=gardening+tools
Gardening tool	english	This invention is an improved garden hoe having a generally triangular one-piece flat sheet steel hoeing blade. The blade is attached detachably to the hoe handle by means of step bolts having male quadrilateral surfaces which engage centrally spaced female quadrilateral opening in the blade to prevent turning of the step bolts in the blade. Nuts are provided to secure step bolts, the blade, and hoe handle together as an assembly.	https://patents.google.com/patent/US3643744?oq=gardening+tools
Handle of gardening tool	english	A gardening tool is composed of a blade, a handle, and an eccentric rotating device connecting the blade and the handle. The blade has a connector provided with a receiving hole, whereas the handle is provided at one end thereof with a fastening hole. The eccentric rotating device is composed of a locating rod, a rotating rod and a bolt. The locating rod is securely received in the receiving hole of the connector of the blade while the rotating rod is fitted into the fastening hole of the handle. The locating rod and the rotating rod are held together end to end by the bolt such that the rotating rod can be actuated by the handle to turn.	https://patents.google.com/patent/US5816337?oq=gardening+tools
Ergonomic garden tools	english	Handles allow hand tools, implements or other utensils to operate within their arc of natural use, motion and attack without requiring extension, flexion, radial deviation, or ulnar deviation of the wrist from the neutral plane of the forearm. The preferred embodiments further include a grip shaped to increase the effectiveness of the tool and minimize antagonism between muscles and tendons of the wrist, forearm and upper arm, while maximizing the effectiveness of the gripping force delivered to it by the user. Maintaining the wrist and forearm in a neutral position increases a tool user's potential strength by increasing the synergy between large muscles of the forearm and upper arm and shoulders. It also decreases compression of the tendons and nerves in the carpal tunnel and between the wrist and forearm. Grips according to the invention preferably conform in shape, diameter and dimensions to the physical architecture of the hand such that grip tension and compression of the tendons in the wrist and forearm is optimized, minimizing the compressive force on the small muscles, tendons, and ligaments of the fingers, hand, wrist, and forearm, while maximizing the contributive effectiveness of the larger muscles of the forearm, upper arm and shoulder.	https://patents.google.com/patent/US20110308225?oq=gardening+tools
Gardening tool assembled of pointed metal element and wooden stick, comprising fixing unit with inner and outer sleeve	english	The handle is a standard wooden stick as used for a brush or a spade. A sleeve, ideally made of aluminum is pushed into the lower end of the stick. The sleeve can have slots and can be secured by spreading. A thin element made of a soft metal is accommodated within the sleeve exceeding this at the outer end. The pointed metal element is moved into a specific angle in relation to the stick by simultaneously bending the sleeve unit.	https://patents.google.com/patent/DE202006002241U1/en?oq=gardening+tools
Gartengerät mit einem Stahlstiftabschnitt	german	Gartengerät mit einem Stiel und einem Stahlstiftabschnitt, gekennzeichnet durch eine den Stahlstiftabschnitt lagernde in dem Stiel verankerte Hülse.	https://patents.google.com/patent/DE202006002241U1/de?oq=gardening+tools
Motorized gardening tool	english	A motorized, hand-held garden cultivating tool having a novel assembly of parts for converting a first reciprocating motion to a second reciprocating motion at a substantial angle to the first. The conversion assembly includes a spring-connected linkage member and is free of bearings or any friction contact that would require protection from soil or grit.	https://patents.google.com/patent/US4122902?oq=gardening+tools
